id,Title,Tag,State,Open Date,Close Date
154,b'Is not normalizing in the helper functions a problem?',[],open,2022-01-20T22:40:58Z,
153,b'Bug with dataparallel in Pytorch 1.7 + cu110',[],open,2022-01-11T15:18:39Z,
152,b'Addition of OmniPrint dataset',[],open,2022-01-06T19:11:50Z,
151,b'Addition of validation per batch',[],closed,2021-12-31T10:57:25Z,2022-01-04T13:50:38Z
150,b'Bump PyTorch version',[],open,2021-12-22T14:50:07Z,
149,b'Add MetaModule._enable_meta_learning',[],open,2021-12-22T14:48:54Z,
148,b'Pytorch 1.10 support',[],open,2021-12-16T23:57:10Z,
147,b'Meta_named_parameters issue',[],closed,2021-12-12T05:00:46Z,2021-12-12T05:46:24Z
146,b'version of torchaudio?',[],open,2021-12-09T23:25:17Z,
145,b'Add `allow_unused` arg for models with task-specific parameters',[],open,2021-12-07T20:25:00Z,
144,b'Error when new installing',[],open,2021-11-11T16:11:53Z,
143,b'Checkpoint request for mini-Imagenet',[],open,2021-11-05T16:41:57Z,
142,"b'A part of the network needs ""requires_grad=False""'",[],open,2021-10-26T13:08:57Z,
141,"b'how to use lstm with torchmeta, pls?'",[],open,2021-09-20T08:15:29Z,
140,"b""why can't we use pytorch 1.9.0?""",[],closed,2021-09-17T20:38:48Z,2021-09-23T14:49:30Z
139,b'Image sizes in datasets',[],open,2021-09-09T21:48:56Z,
138,b'[bug report] MetaConv2D output shape is not equal to torch.nn.Conv2D output shape when using CIRCULAR padding ',[],closed,2021-08-26T10:39:21Z,2021-09-23T14:50:40Z
137,b'How to use Torch-meta for custom dataset?',[],open,2021-08-18T20:13:53Z,
136,"b'Bug with dataparallel (torch-meta:1.7,  pytorc1.8.1+cu102\xef\xbc\x8c Transformer\xef\xbc\x9a4.6.1\xef\xbc\x89'",[],closed,2021-08-15T09:24:26Z,2021-08-15T10:21:49Z
135,b'pip install torchmeta',[],closed,2021-08-13T10:55:55Z,2021-08-13T16:13:40Z
134,b'MiniImagenet downloading issue',[],closed,2021-07-31T07:43:41Z,2021-09-20T14:56:06Z
133,b'Questions about downloading datasets',[],closed,2021-06-19T05:43:33Z,2021-09-20T14:56:12Z
132,b'Limiting the amount of generated tasks',[],closed,2021-06-07T16:32:52Z,2021-09-20T14:56:22Z
131,b'Torchvision InterpolationMode warnings',[],open,2021-05-14T18:53:35Z,
130,b'change: added seed as an argument of dataset to enable reproducibility',[],closed,2021-04-13T10:29:29Z,2021-07-31T10:54:22Z
129,b'Loading Multiple Labels',[],closed,2021-04-09T15:05:10Z,2021-09-20T14:56:48Z
128,b'How to add my own dataset to torchmeta',[],open,2021-04-08T13:45:53Z,
127,b'Purpose of Classsplitter is unclear',[],closed,2021-03-29T22:19:22Z,2021-03-29T22:56:35Z
126,b'maml use miniimagenet is error',[],closed,2021-03-29T14:51:14Z,2021-09-20T14:58:41Z
125,b'mini-imagenet normalization',[],closed,2021-03-29T06:56:43Z,2021-03-29T22:13:18Z
